Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	57	58	59	60	66	67	68	70	73	97/3	Notes
Kent-Sussex-Wessex	0916	1	SO130	XTD	"London Bridge platforms 1-9 – North
Kent East Jn"	1	69	4	25	"8
R1"	R2	R2	R2	R2	R2	R2	R2	R2	R2	R2	"1RA4 Down and Reversible lines
(04m 14ch to 04m 18ch)
RA8 = All other lines
NC/G1/2010/ICP-RA/SO001V1 until 01 March
2021
215mph only Down and Reversible
lines (04m 14ch to 04m 18ch)
NC/G1/2010/ICP-RA/SO001V1 until 01 March
2021"
Kent-Sussex-Wessex	0916	2	SO130	XTD	North Kent East Jn – Tanners Hill Jn	4	25	5	29	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0916	3	SO130	XTD	Tanners Hill Jn – Parks Bridge Jn	5	29	6	14	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0916	4	SO130	LLL	Parks Bridge Jn – Ladywell Jn	6	14	6	29	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0916	5	SO130	XTD	"Parks Bridge Jn – Courthill Loop
South Jn"	6	14	6	21	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0916	6	SO130	XTD	"Courthill Loop South Jn – Hither
Green Jn"	6	21	7	04	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0916	7	SO130	XTD	Hither Green Jn – Lee Spur Jn	7	04	7	44	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0916	8	SO130	XTD	Lee Spur Jn – Chislehurst Jn	7	44	11	33	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0916	9	SO130	CSM1	"Chislehurst Jn – St Mary Cray Down
Jn via Reversible Chatham Loop"	11	33	11	71	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0916	10	SO130	CSM3	"Chislehurst Jn – Hawkwood Jn (Up
Chatham Loop)"	11	33	11	66	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0916	11	SO130	XTD	Chislehurst Jn – Petts Wood Jns	11	33	12	27	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0916	12	SO130	XTD	"Petts Wood Jns – Sevenoaks
Substation"	12	27	21	74	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0916	13	SO130	XTD	"Sevenoaks Substation – Tonbridge
West Jn"	21	74	29	35	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0916	14	SO130	XTD	"Tonbridge West Jn – Tonbridge East
Jn"	29	35	29	55	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0916	15	SO130	XTD	Tonbridge East Jn – Paddock Wood	29	55	34	67	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0916	16	SO130	XTD	"Paddock Wood – Ashford (Jn with
Maidstone line)"	34	67	55	54	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0916	17	SO130	XTD	"Ashford (Jn with Maidstone line) –
Ashford Station"	55	54	56	09	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0916	18	SO130	XTD	"Ashford Station – Ashford (Jn with
Hastings line)"	56	09	56	20	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0916	19	SO130	XTD	"Ashford (Jn with Hastings line) –
Ashford (Jn with Canterbury Line)"	56	20	56	35	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
