Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	170	171	172	220	221	Notes
Kent-Sussex-Wessex	0835	1	SO260	RVC	"Ravensbourne Jn – Shortlands Jn via
Ravensbourne Chord"	0	00	0	48	N	N	N	N	N	
Kent-Sussex-Wessex	0835	2	SO260	CAT	Ravensbourne Jn – Shortlands Jn	10	44	10	73	N	N	N	N	N	
Kent-Sussex-Wessex	0835	3	SO280	MCL	"Route Boundary (LN3213) (Kentish
Town Jn) – ELR change (Former
Farringdon Jn)"	0	66	0	00	N	N	N	N	N	
Kent-Sussex-Wessex	0835	4	SO280	FTL	"ELR change (Former Farringdon Jn) –
Snow Hill Tunnel (Change of Mileage)"	0	00	0	39	N	N	N	N	N	
Kent-Sussex-Wessex	0835	5	SO280	HHH	"Snow Hill Tunnel (Change of Mileage)
– Blackfriars"	0	21	0	35	N	N	N	N	N	
Kent-Sussex-Wessex	0835	6	SO280	HHH	Blackfriars – Blackfriars Jn	0	35	0	63	N	N	N	N	N	
Kent-Sussex-Wessex	0835	7	SO280	BMJ	Blackfriars Jn – Metropolitan Jn	0	63	1	14	N	N	N	N	N	
Kent-Sussex-Wessex	0835	8	SO280	HHH	Blackfriars Jn – Loughborough Jn	0	63	3	36	N	N	N	N	N	
Kent-Sussex-Wessex	0835	9	SO280	LTC	Loughborough Jn – Cambria Jn	3	34	3	62	N	N	N	N	N	
Kent-Sussex-Wessex	0835	10	SO280	LOC	"Loughborough Jn – Canterbury Road
Jn"	3	39	3	79	N	N	N	N	N	
Kent-Sussex-Wessex	0835	11	SO280	HHH	"Loughborough Jn – Herne Hill North
Jn"	3	36	4	30	N	N	N	N	N	
Kent-Sussex-Wessex	0835	12	SO290	NKL	"North Kent East Jn (SO130) –
Charlton Jn"	4	25	7	35	N	N	N	N	N	
Kent-Sussex-Wessex	0835	13	SO290	NKL	Charlton Jn – Charlton	7	35	7	44	N	N	N	N	N	
Kent-Sussex-Wessex	0835	14	SO290	NKL	Charlton  – Slade Green Jn	7	44	15	36	N	N	N	N	N	
Kent-Sussex-Wessex	0835	15	SO290	NKL	Slade Green Jn – Crayford Creek Jn	15	36	15	66	N	N	N	N	N	
Kent-Sussex-Wessex	0835	16	SO290	NKL	"Crayford Creek Jn – Crayford Spur ‘A’
Jn"	15	66	16	42	N	N	N	N	N	
Kent-Sussex-Wessex	0835	17	SO290	NKL	Crayford Spur ‘A’ Jn – Dartford Jn	16	42	16	75	N	N	N	N	N	
Kent-Sussex-Wessex	0835	18	SO300	BEX	Lewisham Jn – Blackheath Jn	5	74	7	14	N	N	N	N	N	
Kent-Sussex-Wessex	0835	19	SO300	BTC	Blackheath Jn – Charlton Jn	7	14	8	67	N	N	N	N	N	
Kent-Sussex-Wessex	0835	20	SO300	BEX	Blackheath Jn – Perry Street Fork Jn	7	14	15	07	N	N	N	N	N	
Kent-Sussex-Wessex	0835	21	SO300	PSF	Perry Street Fork Jn – Slade Green Jn	15	07	15	31	N	N	N	N	N	
Kent-Sussex-Wessex	0835	22	SO300	BEX	"Perry Street Fork Jn – Crayford Creek
Jn"	15	07	15	66	N	N	N	N	N	
