Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	59	60	66	67	68	70	73	97/3	MPV	Notes
Anglia	0428	1	EA1010	LTN1	"Liverpool Street platforms 1-10 –
Liverpool St (L) IECC"	0	00	0	22	8	R1	R1	R1	R1	R1	R1	R1	R1	R1	"R1Liverpool Street platforms 8-10 diesel
traction see Sectional Appendix Local
Instructions"
Anglia	0428	2	EA1010	LVS	"Liverpool Street platforms 11-18 –
Liverpool St (L) IECC"	0	00	0	22	8	R1	R1	R1	R1	R1	R1	R1	R1	R1	"R1Liverpool Street platforms 10-18 diesel
traction see Sectional Appendix Local
Instructions"
Anglia	0428	3	EA1010	LTN1	"Liverpool St (L) IECC – Bethnal Green
East Jn"	0	22	1	10	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0428	4	EA1010	LTN1	Bethnal Green East Jn – Mile End	1	10	2	02	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0428	5	EA1010	LTN1	Mile End – Bow Jn	2	02	2	74	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0428	6	EA1010	LTN1	Bow Jn – Carpenters Road South Jn	2	74	3	54	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0428	7	EA1010	LTN1	"Carpenters Road South Jn – Stratford
Central Jn West"	3	54	3	70	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0428	8	EA1010	LTN1	"Stratford Central Jn West – Stratford
Central Jn East"	3	70	3	75	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0428	9	EA1010	LTN1	"Stratford Central Jn East – Forest
Gate Jn"	3	75	5	63	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0428	10	EA1010	LTN1	"Forest Gate Jn – Ilford Depot London
End"	5	63	7	63	8	Y	Y	Y	Y	R1	Y	Y	Y	Y	"R1Prohibited Ilford Bay platform 5 (Down
Passenger Avoiding line)"
Anglia	0428	11	EA1010	LTN1	"Ilford Depot London End – Seven
Kings"	7	63	8	45	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0428	12	EA1011	LTN1	Seven Kings – Romford Jn	8	45	12	39	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0428	13	EA1011	LTN1	Romford Jn – Shenfield Jn	12	39	20	22	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0428	14	EA1011	LTN1	Shenfield Jn – Witham Jn	20	22	38	55	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0428	15	EA1011	LTN1	Witham Jn – Marks Tey Jn	38	55	46	49	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0428	16	EA1011	LTN1	Marks Tey Jn – Colchester Jn	46	49	51	65	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0428	17	EA1011	LTN1	Colchester Jn – Manningtree South Jn	51	65	59	46	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0428	18	EA1011	LTN1	"Manningtree South Jn – Manningtree
North Jn"	59	46	59	69	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0428	19	EA1011	LTN1	Manningtree North Jn – Ipswich	59	69	68	59	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0428	20	EA1012	LTN1	Ipswich – East Suffolk Jn	68	59	69	41	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0428	21	EA1012	LTN1	East Suffolk Jn – Trowse Jn (EA1013)	69	41	113	68	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0428	22	EA1013	LTN2	Trowse Jn – Trowse Swing Bridge	123	00	123	37	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
